token_id,gender,background,body,body_type,body_style,body_color,face,face_type,face_style,face_color,hair,hair_type,hair_style,hair_color,type,type_type,type_color,repeated_color,image_original_url,metadata_original_url
1507,Male,Pink,Tank Top Pink,Clothing,Tank Top,Pink,Lined Glasses White,Glasses,Lined Glasses,White,Mullet Rainbow,Hair,Mullet,Rainbow,Gradient Red Purple,Gradient,Red Purple,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1507.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1507
1508,Male,Purple,Retro Windbreaker White,Clothing,Retro Windbreaker,White,White Cubic Sunglasses,Glasses,Cubic Sunglasses,White,Short Gold,Hair,Short,Gold,Gold,Gold,Gold,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1508.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1508
1509,Male,Blue,Letterman Jacket Glass,Clothing,Letterman Jacket,Glass,Circle Sunglasses With Glare,Glasses,Circle Sunglasses With Glare,Circle Sunglasses With Glare,Slick Back Glass,Hair,Slick Back,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1509.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1509
1510,Male,Cream,Letterman Jacket Pink,Clothing,Letterman Jacket,Pink,Pro Gamer Glasses,Glasses,Pro Gamer Glasses,Pro Gamer Glasses,Backwards Hat Pink White,Headgear,Backwards Hat,Pink White,Plastic Mint,Plastic,Mint,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1510.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1510
1511,Male,Cream,Suit White,Clothing,Suit,White,80s Glasses Candy Lime,Glasses,80s Glasses,Candy Lime,Captain Hat,Headgear,Captain Hat,Captain Hat,Robot Ice,Robot,Ice,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1511.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1511
1512,Male,Blue,Driving Jacket Pink,Clothing,Driving Jacket,Pink,Poker Face,Glasses,Poker Face,Poker Face,Bowl Cut Black,Hair,Bowl Cut,Black,Gradient Blue Purple Pink,Gradient,Blue Purple Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1512.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1512
1513,Male,Yellow,Henley Glass,Clothing,Henley,Glass,Laugh,Expression,Laugh,No Color,Wide Brim Hat Glass,Headgear,Wide Brim Hat,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1513.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1513
1514,Male,Pink,Leather Jacket Black,Clothing,Leather Jacket,Black,White Cubic Sunglasses,Glasses,Cubic Sunglasses,White,Slick Back Gold,Hair,Slick Back,Gold,Robot Lilac,Robot,Lilac,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1514.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1514
1515,Male,Mint,Hoodie Black SuperRare,Clothing,Hoodie,Black SuperRare,Beard Black,Facial Hair,Beard,Black,Black Headband Black Headphones,Headgear,Headphones,Black Black,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1515.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1515
1516,Male,Purple,Hooded Jacket Glass,Clothing,Hooded Jacket,Glass,Aviator Sunglasses Clear Glass,Glasses,Aviator Sunglasses,Clear Glass,Classic Glass,Hair,Classic,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1516.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1516
